,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
1347,STAR.V,"04/20/2020, 07:28:42",0.02,142460000.0,2850000.0,3270000.0,0.0,0.0,0.0,0.0,206.0,1294.0,2.0,-887.0,2018-12-31,2018-12-31,2018-12-31
1348,STC.V,"04/20/2020, 07:29:02",1.69,73580000.0,124350000.0,170240000.0,12650000.0,0.0,0.0,0.0,11725.0,54585.0,109648.0,11459.0,2019-06-30,2019-06-30,2019-06-30
1349,STE.V,"04/20/2020, 07:29:23",0.38,21200000.0,8060000.000000001,8050000.000000001,0,0,0,0.0,5.0,137.0,0.0,0.0,2019-07-31,2019-07-31,2019-07-31
1350,STH.V,"04/20/2020, 07:29:43",0.05,37320000.0,1870000.0,1630000.0,0.0,0.0,0,0.0,98.0,101.0,0.0,275.0,2019-07-31,2019-07-31,2019-07-31
1351,STMP.V,"04/20/2020, 07:30:05",0.015,34600000.0,0.0,0.0,0,0,0,0.0,0.0,766.0,0.0,-18.0,2019-06-30,2019-06-30,2019-06-30
1352,STR-H.V,"04/20/2020, 07:30:26",0.05,6990000.0,0.0,0.0,0,0,0,0.0,3.0,238.0,0.0,-50.0,2018-12-31,2018-12-31,2018-12-31
1353,STS.V,"04/20/2020, 07:30:46",0.035,42910000.0,1500000.0,1050000.0,-2340000.0,0.0,0,0.0,1276.0,61.0,0.0,-1987.0,2018-12-31,2018-12-31,2018-12-31
1354,STU.V,"04/20/2020, 07:31:07",0.215,15090000.0,3240000.0,2480000.0,0.0,0.0,0.0,0.0,14.0,221.0,0.0,-150.0,2019-02-28,2019-02-28,2019-02-28
1355,SUGR.V,"04/20/2020, 07:31:29",0.055,393670000.0,21650000.0,22140000.0,-5310000.0,0.0,0.0,0.0,3922.0,2154.0,0.0,-2809.0,2018-12-31,2018-12-31,2018-12-31
1356,SUGR-WT.V,"04/20/2020, 07:31:53",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
