,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
1299,MTL.TO,"04/22/2020, 08:47:51",4.75,104830000.0,497920000.0,1040000000.0,189200000.0,0.0,0.0,0.0,79023.0,831371.0,1278502.0,170653.0,2019-12-31,2019-12-31,2019-12-31
1300,MTL-DB.TO,"04/22/2020, 08:48:07",92.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,Null,ttm,ttm
1301,MTY.TO,"04/22/2020, 08:48:34",21.6,25070000.0,541540000.0,1030000000.0,147400000.0,0.0,0.0,0.0,50737.0,983288.0,550942.0,112951.0,2019-11-30,2019-11-30,2019-11-30
1302,MUB.TO,"04/22/2020, 08:48:53",20.46,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1303,MULC.TO,"04/22/2020, 08:49:09",26.63,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1304,MULC-B.TO,"04/22/2020, 08:49:25",29.45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1305,MUMC.TO,"04/22/2020, 08:49:42",23.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1306,MUMC-B.TO,"04/22/2020, 08:50:00",26.12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1307,MUS.TO,"04/22/2020, 08:50:17",27.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1308,MUSC.TO,"04/22/2020, 08:50:34",18.65,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1309,MUSC-B.TO,"04/22/2020, 08:50:52",21.06,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1310,MUX.TO,"04/22/2020, 08:51:09",1.37,400400000.0,544320000.0,556860000.0,-27940000.0,0.0,0.0,0.0,48337.0,131744.0,117019.0,-39527.0,2019-12-31,2019-12-31,2019-12-31
1311,MWD.TO,"04/22/2020, 08:51:26",23.83,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1312,MX.TO,"04/22/2020, 08:51:41",17.92,76200000.0,1370000000.0,3730000000.0,370880000.0,0.0,0.0,0.0,416763.0,3566255.0,3283514.0,515431.0,2019-12-31,2019-12-31,2019-12-31
1313,MXG.TO,"04/22/2020, 08:51:57",1.9,50210000.0,95410000.0,123540000.0,-1450000.0,0.0,0.0,0.0,20924.0,86042.0,28335.0,5491.0,2019-12-31,2019-12-31,2019-12-31
1314,MXU.TO,"04/22/2020, 08:52:16",20.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1315,MYA.TO,"04/22/2020, 08:52:32",1.3,79630000.0,103510000.0,87670000.0,2200000.0,0.0,0.0,0.0,19023.0,7128.0,0.0,-1548.0,2018-12-31,2018-12-31,2018-12-31
1316,NA.TO,"04/22/2020, 08:52:48",51.44,335860000.0,17280000000.0,-59830000000.0,0,0,0,0.0,0.0,266322000.0,7398000.0,8280000.0,2019-10-31,2019-10-31,2019-10-31
1317,NA-PR-A.TO,"04/22/2020, 08:53:03",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1318,NA-PR-C.TO,"04/22/2020, 08:53:19",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1319,NA-PR-E.TO,"04/22/2020, 08:53:35",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1320,NA-PR-G.TO,"04/22/2020, 08:53:51",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1321,NA-PR-S.TO,"04/22/2020, 08:54:07",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1322,NA-PR-W.TO,"04/22/2020, 08:54:23",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1323,NA-PR-X.TO,"04/22/2020, 08:54:38",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1324,NALT.TO,"04/22/2020, 08:54:55",20.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1325,NB.TO,"04/22/2020, 08:55:10",0.64,234840000.0,150300000.0,153690000.0,0,0,0.0,0.0,357.0,6233.0,0.0,-4355.0,2019-06-30,2019-06-30,2019-06-30
1326,NCF.TO,"04/22/2020, 08:55:26",0.045,191130000.0,8600000.0,9980000.0,-1450000.0,0.0,0,0.0,1139.0,458.0,0.0,-1098.0,2019-10-31,2019-10-31,2019-10-31
1327,NCP.TO,"04/22/2020, 08:55:41",0.05,284880000.0,14240000.0,12710000.0,-3050000.0,0.0,0.0,0.0,1016.0,1004.0,0.0,-2372.0,2019-12-31,2019-12-31,2019-12-31
1328,NCU.TO,"04/22/2020, 08:55:56",0.15,761940000.0,114290000.0,284210000.0,-5400000.0,0.0,0.0,0.0,1041.0,290159.0,0.0,-5744.0,2019-12-31,2019-12-31,2019-12-31
1329,NDM.TO,"04/22/2020, 08:56:12",0.76,436630000.0,331840000.0,329110000.0,-68340000.0,0.0,0.0,0.0,14038.0,16119.0,0.0,-64744.0,2019-12-31,2019-12-31,2019-12-31
1330,NDM-WT-A.TO,"04/22/2020, 08:56:27",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1331,NDM-WT-B.TO,"04/22/2020, 08:56:45",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1332,NEO.TO,"04/22/2020, 08:57:01",7.78,37800000.0,294080000.0,217180000.0,53290000.0,0.0,0.0,0.0,84735.0,102598.0,407464.0,71297.0,2019-12-31,2019-12-31,2019-12-31
1333,NEPT.TO,"04/22/2020, 08:57:17",2.76,94950000.0,262079999.99999997,237170000.0,-32659999.999999996,0.0,0.0,0.0,9867.0,21236.0,24442.0,-8154.0,2019-03-31,2019-03-31,2019-03-31
1334,NEXA.TO,"04/22/2020, 08:57:33",4.88,132440000.0,645910000.0,1800000000.0,338060000.0,0.0,0.0,0.0,757041.0,2969504.0,2332306.0,122823.0,2019-12-31,2019-12-31,2019-12-31
1335,NEXT.TO,"04/22/2020, 08:57:48",0.04,536500000.0,21460000.0,23570000.0,0,0,0,0.0,529.0,1279.0,0.0,-2235.0,2019-06-30,2019-06-30,2019-06-30
1336,NFAM.TO,"04/22/2020, 08:58:06",15.07,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1337,NFI.TO,"04/22/2020, 08:58:22",13.5,62420000.0,843670000.0,2049999999.9999998,276600000.0,0.0,0.0,0.0,28233.0,2134684.0,2893436.0,98608.0,2019-12-31,2019-12-31,2019-12-31
1338,NG.TO,"04/22/2020, 08:58:37",16.27,328670000.0,5350000000.0,5310000000.0,-16680000.0,0.0,0.0,0.0,148549.0,107881.0,0.0,-6127.0,2019-11-30,2019-11-30,2019-11-30
1339,NGD.TO,"04/22/2020, 08:58:54",1.07,675960000.0,723270000.0,1390000000.0,223100000.0,0.0,0.0,0.0,83400.0,1197200.0,630600.0,263500.0,2019-12-31,2019-12-31,2019-12-31
1340,NGPE.TO,"04/22/2020, 08:59:11",21.77,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1341,NGT.TO,"04/22/2020, 08:59:27",83.73,807790000.0,67640000000.0,73000000000.0,3800000000.0,0.0,0.0,0.0,2480000.0,17604000.0,9740000.0,2866000.0,2019-12-31,2019-12-31,2019-12-31
1342,NHK.TO,"04/22/2020, 08:59:42",1.65,44670000.0,73710000.0,64050000.0,0,0,0,0.0,9663.0,13244.0,0.0,-1613.0,2019-12-31,2019-12-31,2019-12-31
1343,NHYB.TO,"04/22/2020, 08:59:58",21.85,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1344,NIF-UN.TO,"04/22/2020, 09:00:14",1.36,37490000.0,67990000.0,179050000.0,25880000.0,0.0,0.0,0.0,1082.0,269240.0,741186.0,18951.0,2019-12-31,2019-12-31,2019-12-31
1345,NML.TO,"04/22/2020, 09:00:31",0.04,181050000.0,7240000.0,-6710000.0,0,0,0,0.0,14193.0,1017.0,0.0,-1152.0,2019-12-31,2019-12-31,2019-12-31
1346,NOA.TO,"04/22/2020, 09:00:48",6.16,27550000.0,169720000.0,583620000.0,161060000.0,0.0,0.0,0.0,5544.0,612533.0,719067.0,157944.0,2019-12-31,2019-12-31,2019-12-31
1347,NOA-DB.TO,"04/22/2020, 09:01:04",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1348,NOA-DB-A.TO,"04/22/2020, 09:01:22",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1349,NOVB-F.TO,"04/22/2020, 09:01:38",27.88,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1350,NPI.TO,"04/22/2020, 09:01:55",28.58,193730000.0,5570000000.0,13910000000.0,1240000000.0,0.0,0.0,0.0,268193.0,8967916.0,1658977.0,1224415.0,2019-12-31,2019-12-31,2019-12-31
1351,NPI-DB-C.TO,"04/22/2020, 09:02:11",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1352,NPI-PR-A.TO,"04/22/2020, 09:02:28",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1353,NPI-PR-B.TO,"04/22/2020, 09:02:44",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1354,NPI-PR-C.TO,"04/22/2020, 09:03:02",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1355,NPK.TO,"04/22/2020, 09:03:17",0.44,46030000.0,20250000.0,20180000.0,0.0,0.0,0.0,0.0,666.0,7690.0,6029.0,-719.0,2019-12-31,2019-12-31,2019-12-31
1356,NPRF.TO,"04/22/2020, 09:03:34",16.23,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1357,NREA.TO,"04/22/2020, 09:03:51",16.47,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1358,NRI.TO,"04/22/2020, 09:04:07",0.64,11390000.0,7290000.0,107350000.0,22770000.0,0.0,0.0,0.0,23019.0,138999.0,69546.0,2363.0,2019-12-31,2019-12-31,2019-12-31
1359,NSCE.TO,"04/22/2020, 09:04:24",22.12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1360,NSGE.TO,"04/22/2020, 09:04:40",24.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1361,NTR.TO,"04/22/2020, 09:04:56",47.59,569140000.0,27090000000.0,39310000000.0,3610000000.0,0.0,0.0,0.0,671000.0,23930000.0,20023000.0,3665000.0,2019-12-31,2019-12-31,2019-12-31
1362,NUBF.TO,"04/22/2020, 09:05:13",23.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1363,NVA.TO,"04/22/2020, 09:05:38",0.62,225590000.0,139870000.0,782220000.0,148680000.0,0.0,0.0,0.0,0.0,982605.0,578476.0,263856.0,2019-12-31,2019-12-31,2019-12-31
1364,NVCN.TO,"04/22/2020, 09:05:53",3.38,11130000.0,37630000.0,47910000.0,-29680000.0,0.0,0,0.0,5293.0,24552.0,2092.0,-23972.0,2019-12-31,2019-12-31,2019-12-31
1365,NVU-UN.TO,"04/22/2020, 09:06:08",34.19,67069999.99999999,2360000000.0,4650000000.0,205180000.0,0.0,0.0,0.0,4380.0,2478395.0,392562.0,120353.0,2019-12-31,2019-12-31,2019-12-31
1366,NWC.TO,"04/22/2020, 09:06:24",24.2,48750000.0,1180000000.0,1710000000.0,200380000.0,0.0,0.0,0.0,38448.0,601817.0,2013486.0,127120.0,2019-01-31,2019-01-31,2019-01-31
1367,NWH-DB-E.TO,"04/22/2020, 09:06:40",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1368,NWH-DB-F.TO,"04/22/2020, 09:06:55",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1369,NWH-DB-G.TO,"04/22/2020, 09:07:11",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1370,NWH-UN.TO,"04/22/2020, 09:07:26",9.09,160340000.0,1460000000.0,4950000000.0,242530000.0,0.0,0.0,0.0,192150.0,3459185.0,366056.0,115816.0,2019-12-31,2019-12-31,2019-12-31
